harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
440000000.0,1.0,2.0,2.0,mapanget,80.0,144.0,rumah
700000000.0,2.0,5.0,2.0,sario,200.0,202.0,rumah
150000000.0,1.0,2.0,1.0,wanea,60.0,96.0,rumah
1150000000.0,1.0,3.0,2.0,mapanget,110.0,180.0,rumah
1500000000.0,1.0,5.0,4.0,sario,450.0,486.0,rumah
650000000.0,1.0,2.0,1.0,malalayang,150.0,300.0,rumah
6500000000.0,,,,wenang,,3002.0,tanah
2650000000.0,2.0,5.0,5.0,wanea,180.0,200.0,rumah
,,,,minut,,12000.0,tanah
1400000000.0,2.0,3.0,3.0,mapanget,300.0,240.0,rumah
461000000.0,1.0,2.0,1.0,mapanget,44.0,149.0,rumah
244000000.0,1.0,2.0,1.0,mapanget,45.0,119.0,rumah
330000000.0,1.0,2.0,1.0,mapanget,55.0,218.0,rumah
598000000.0,1.0,4.0,2.0,mapanget,121.0,150.0,rumah
195000000.0,1.0,2.0,1.0,mapanget,55.0,120.0,rumah
587000000.0,1.0,3.0,1.0,wanea,90.0,90.0,rumah
139000000.0,1.0,2.0,1.0,mapanget,38.0,126.0,rumah
482000000.0,1.0,2.0,1.0,mapanget,60.0,105.0,rumah
537000000.0,1.0,2.0,1.0,mapanget,58.0,120.0,rumah
1010000000.0,1.0,4.0,2.0,mapanget,132.0,105.0,rumah
18000000000.0,2.0,3.0,2.0,malalayang,100.0,2000.0,rumah
2600000000.0,2.0,5.0,4.0,wanea,300.0,240.0,rumah
3500000000.0,2.0,3.0,2.0,sario,500.0,439.0,rumah
3500000.0,,,,tikala,,558.0,tanah
3500000.0,,,,tikala,,3300.0,tanah
3000000000.0,,3.0,,mapanget,289.0,85.0,ruko
3900000000.0,,4.0,,sario,400.0,100.0,ruko
3500000.0,,,,mapanget,,13000.0,tanah
875000000.0,1.0,3.0,3.0,paal dua,100.0,120.0,rumah
15000000.0,,,,sario,,9530.0,tanah
5000000.0,,,,paal dua,,11000.0,tanah
1750000.0,,,,mapanget,,70000.0,tanah
1750000.0,,,,malalayang,,22525.0,tanah
,,,,mapanget,,200000.0,tanah
1500000.0,,,,tikala,,2319.0,tanah
15000000000.0,,,,mapanget,,10530.0,tanah
3600000000.0,2.0,4.0,3.0,mapanget,212.0,200.0,rumah
2160000000.0,2.0,3.0,3.0,tikala,111.0,120.0,rumah
1000000000.0,1.0,2.0,1.0,mapanget,62.0,120.0,rumah
1080000000.0,1.0,2.0,2.0,tikala,61.0,72.0,rumah
896000000.0,1.0,2.0,1.0,mapanget,40.0,90.0,rumah
1070000000.0,1.0,2.0,1.0,mapanget,67.0,135.0,rumah
4500000.0,,,,mapanget,,9000.0,tanah
15000000.0,,,,wanea,,2900.0,tanah
4990000000.0,,,,wenang,,477.0,tanah
5000000.0,,,,wanea,,1309.0,tanah
12500000.0,,,,sario,,5000.0,tanah
37500000000.0,,,,bunaken,,50000.0,tanah
1000000000.0,2.0,3.0,2.0,mapanget,140.0,150.0,rumah
1450000.0,,,,wanea,,6639.0,tanah
,,,,malalayang,,385.0,tanah
12500000000.0,,,,mapanget,,8468.0,tanah
1100000000.0,,4.0,5.0,tikala,260.0,190.0,rumah
1500000000.0,2.0,3.0,2.0,mapanget,101.0,126.0,rumah
1100000000.0,1.0,4.0,3.0,wanea,150.0,200.0,rumah
2000000000.0,1.0,4.0,4.0,malalayang,360.0,300.0,rumah
4000000000.0,,,,wanea,,971.0,tanah
280000000.0,1.0,2.0,1.0,mapanget,45.0,126.0,rumah
280000000.0,1.0,2.0,1.0,mapanget,45.0,126.0,rumah
,,,,mapanget,,1000.0,tanah
6250000000.0,2.0,4.0,5.0,mapanget,285.0,300.0,rumah
2049999999.0,2.0,3.0,3.0,mapanget,95.0,144.0,rumah
1470000000.0,1.0,2.0,2.0,mapanget,69.0,105.0,rumah
948000000.0,1.0,2.0,1.0,mapanget,36.0,72.0,rumah
,,,,mapanget,,50000.0,tanah
750000000.0,,,,mapanget,,3100.0,tanah
,,,,mapanget,,70000.0,tanah
2009999999.0,2.0,3.0,3.0,mapanget,150.0,300.0,rumah
966000000.0,1.0,2.0,2.0,mapanget,63.0,100.0,rumah
878000000.0,1.0,3.0,2.0,mapanget,69.0,120.0,rumah
693000000.0,1.0,2.0,1.0,mapanget,60.0,100.0,rumah
11000000000.0,1.0,5.0,6.0,malalayang,450.0,552.0,rumah
1000000.0,,,,mapanget,,10000.0,tanah
37500000000.0,,,,bunaken,,50000.0,tanah
3400000000.0,1.0,1.0,1.0,wanea,200.0,510.0,rumah
1020000000.0,1.0,3.0,2.0,wanea,62.0,170.0,rumah
700000000.0,,,,wanea,,700.0,tanah
700000000.0,,,,wanea,,646.0,tanah
2500000000.0,2.0,4.0,3.0,mapanget,350.0,200.0,rumah
1000000.0,,,,tikala,,6000.0,tanah
1270000000.0,1.0,2.0,1.0,mapanget,62.0,176.0,rumah
800000000.0,1.0,4.0,4.0,mapanget,205.0,105.0,rumah
7950000000.0,12.0,4.0,4.0,wanea,600.0,1000.0,rumah
,,,,mapanget,,3000.0,tanah
1600000000.0,6.0,15.0,15.0,malalayang,300.0,400.0,rumah
1350000000.0,,4.0,,wenang,300.0,246.0,ruang usaha
1200000000.0,1.0,4.0,3.0,malalayang,261.0,121.0,rumah
2540000000.0,,1.0,2.0,tikala,216.0,270.0,gudang
